date,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,T2M,RH2M,WS10M,PRECTOTCORR,target_pm2_5_next_day,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll3,month,day_of_year
2023-11-29,103.37083333333334,152.96666666666667,57.479166666666664,58.583333333333336,55.625,164.5,18.52,58.2,1.7,0.09,129.32500000000002,89.96666666666665,106.88333333333333,130.74583333333334,100.07361111111108,11,333
2023-11-30,129.32500000000002,198.64166666666665,56.0375,62.0375,59.583333333333336,188.875,19.59,62.39,1.77,0.0,106.1875,103.37083333333334,89.96666666666665,106.88333333333333,107.55416666666666,11,334
2023-12-01,106.1875,161.05833333333334,42.041666666666664,43.612500000000004,58.666666666666664,181.08333333333334,20.56,62.8,1.32,0.0,80.47500000000001,129.32500000000002,103.37083333333334,89.96666666666665,112.96111111111111,12,335
2023-12-02,80.47500000000001,119.5625,42.0125,38.46666666666667,52.875,170.375,18.99,63.91,1.98,0.0,85.8,106.1875,129.32500000000002,103.37083333333334,105.32916666666667,12,336
2023-12-03,85.8,125.36666666666667,50.00416666666666,50.60833333333333,50.375,162.91666666666666,18.8,59.65,2.02,0.47,87.99583333333334,80.47500000000001,106.1875,129.32500000000002,90.82083333333333,12,337
2023-12-04,87.99583333333334,127.57916666666667,51.57083333333333,51.51666666666667,55.916666666666664,169.16666666666666,19.11,62.34,1.67,0.98,64.02916666666667,85.8,80.47500000000001,106.1875,84.75694444444443,12,338
2023-12-05,64.02916666666667,92.52083333333333,39.25416666666667,35.166666666666664,51.0,160.95833333333334,18.09,58.35,2.83,0.1,73.96249999999999,87.99583333333334,85.8,80.47500000000001,79.27499999999999,12,339
2023-12-06,73.96249999999999,106.43333333333334,53.770833333333336,49.67083333333333,53.333333333333336,152.25,18.16,52.21,2.09,0.0,80.52499999999999,64.02916666666667,87.99583333333334,85.8,75.32916666666665,12,340
2023-12-07,80.52499999999999,115.81666666666666,50.2875,46.462500000000006,62.75,164.91666666666666,18.32,50.68,2.29,0.0,69.64583333333333,73.96249999999999,64.02916666666667,87.99583333333334,72.83888888888886,12,341
2023-12-08,69.64583333333333,100.16666666666667,39.704166666666666,35.30833333333333,75.91666666666667,160.5,17.01,51.16,3.06,0.0,66.14999999999999,80.52499999999999,73.96249999999999,64.02916666666667,74.7111111111111,12,342
2023-12-09,66.14999999999999,95.05,28.508333333333336,30.358333333333334,88.83333333333333,156.16666666666666,16.11,46.4,3.51,0.0,70.35416666666667,69.64583333333333,80.52499999999999,73.96249999999999,72.10694444444442,12,343
2023-12-10,70.35416666666667,102.39583333333333,26.758333333333336,31.820833333333336,86.66666666666667,156.83333333333334,15.25,45.78,3.97,0.0,97.82083333333333,66.14999999999999,69.64583333333333,80.52499999999999,68.71666666666664,12,344
2023-12-11,97.82083333333333,141.57083333333333,63.25833333333333,62.07916666666667,68.95833333333333,161.29166666666666,15.48,40.43,1.68,0.0,133.82083333333333,70.35416666666667,66.14999999999999,69.64583333333333,78.1083333333333,12,345
2023-12-12,133.82083333333333,193.51666666666665,88.33333333333333,88.29583333333333,86.125,186.95833333333334,15.92,41.94,1.39,0.0,103.6375,97.82083333333333,70.35416666666667,66.14999999999999,100.66527777777776,12,346
2023-12-13,103.6375,153.91666666666666,55.125,58.5,74.41666666666667,185.41666666666666,15.54,41.68,2.22,0.0,65.41666666666667,133.82083333333333,97.82083333333333,70.35416666666667,111.7597222222222,12,347
2023-12-14,65.41666666666667,90.625,31.766666666666666,28.983333333333334,72.08333333333333,160.95833333333334,14.26,48.47,3.56,0.0,100.72916666666667,103.6375,133.82083333333333,97.82083333333333,100.9583333333333,12,348
2023-12-15,100.72916666666667,133.59583333333333,49.925000000000004,53.22083333333333,87.45833333333333,163.54166666666666,16.05,44.56,1.76,0.0,80.04166666666667,65.41666666666667,103.6375,133.82083333333333,89.92777777777775,12,349
2023-12-16,80.04166666666667,116.94583333333333,46.04583333333333,43.770833333333336,72.54166666666667,170.66666666666666,15.46,45.53,1.91,0.0,84.47500000000001,100.72916666666667,65.41666666666667,103.6375,82.06249999999999,12,350
2023-12-17,84.47500000000001,126.69583333333333,35.125,39.4,88.16666666666667,163.33333333333334,14.65,49.26,2.65,0.0,59.458333333333336,80.04166666666667,100.72916666666667,65.41666666666667,88.41527777777776,12,351
2023-12-18,59.458333333333336,88.6125,20.3,25.245833333333334,80.95833333333333,160.375,13.86,54.58,4.34,0.0,53.737500000000004,84.47500000000001,80.04166666666667,100.72916666666667,74.6583333333333,12,352
2023-12-19,53.737500000000004,78.92083333333333,23.454166666666666,26.979166666666668,82.25,147.0,13.17,47.23,4.17,0.0,66.14999999999999,59.458333333333336,84.47500000000001,80.04166666666667,65.89027777777775,12,353
2023-12-20,66.14999999999999,95.73333333333333,36.65,35.93333333333333,69.29166666666667,147.5,12.97,44.1,3.02,0.0,86.72083333333335,53.737500000000004,59.458333333333336,84.47500000000001,59.78194444444441,12,354
2023-12-21,86.72083333333335,124.69583333333333,41.729166666666664,40.729166666666664,70.20833333333333,161.58333333333334,13.14,43.66,3.23,0.0,132.01666666666668,66.14999999999999,53.737500000000004,59.458333333333336,68.86944444444441,12,355
2023-12-22,132.01666666666668,189.63750000000002,71.69166666666666,75.10833333333333,87.58333333333333,172.83333333333334,14.89,41.04,1.65,0.0,140.89583333333334,86.72083333333335,66.14999999999999,53.737500000000004,94.96249999999998,12,356
2023-12-23,140.89583333333334,203.70833333333334,75.83333333333333,92.52499999999999,88.54166666666667,199.79166666666666,16.27,43.96,2.25,0.0,117.50833333333334,132.01666666666668,86.72083333333335,66.14999999999999,119.87777777777778,12,357
2023-12-24,117.50833333333334,170.92083333333335,68.06666666666666,77.7,91.08333333333333,191.91666666666666,16.72,51.16,1.59,0.0,100.2,140.89583333333334,132.01666666666668,86.72083333333335,130.14027777777775,12,358
2023-12-25,100.2,144.59166666666667,40.99583333333333,42.2125,89.29166666666667,174.25,15.17,54.15,3.03,0.0,123.51666666666667,117.50833333333334,140.89583333333334,132.01666666666668,119.53472222222221,12,359
2023-12-26,123.51666666666667,179.51250000000002,56.270833333333336,57.38333333333333,83.20833333333333,175.79166666666666,15.28,55.02,2.65,0.0,136.58333333333334,100.2,117.50833333333334,140.89583333333334,113.74166666666666,12,360
2023-12-27,136.58333333333334,199.07083333333333,60.22083333333333,58.06666666666666,85.75,199.20833333333334,15.23,55.52,1.72,0.0,119.90416666666665,123.51666666666667,100.2,117.50833333333334,120.09999999999998,12,361
