date,T2M,RH2M,WS10M,PRECTOTCORR
2023-11-06,22.99,40.14,1.62,0.0
2023-11-07,22.76,40.98,1.67,0.0
2023-11-08,22.62,54.16,2.1,0.0
2023-11-09,23.5,53.03,2.22,0.0
2023-11-10,21.76,60.4,2.16,4.85
2023-11-11,19.86,62.83,3.21,0.25
2023-11-12,19.69,62.63,3.15,0.0
2023-11-13,19.56,55.34,2.29,0.0
2023-11-14,19.23,49.58,2.38,0.0
2023-11-15,18.79,56.24,2.48,0.0
2023-11-16,20.29,54.99,1.83,0.0
2023-11-17,20.89,54.19,1.94,0.0
2023-11-18,20.1,50.87,1.94,0.0
2023-11-19,19.81,47.51,1.53,0.0
2023-11-20,19.73,51.79,2.33,0.0
2023-11-21,18.79,58.46,3.62,0.0
2023-11-22,17.72,57.83,3.25,0.0
2023-11-23,19.14,45.43,1.22,0.0
2023-11-24,18.96,45.35,1.27,0.0
2023-11-25,19.05,46.12,1.63,0.0
2023-11-26,18.74,49.09,1.82,0.0
2023-11-27,17.36,53.86,2.76,0.14
2023-11-28,18.6,54.48,1.75,2.24
2023-11-29,18.52,58.2,1.7,0.09
2023-11-30,19.59,62.39,1.77,0.0
2023-12-01,20.56,62.8,1.32,0.0
2023-12-02,18.99,63.91,1.98,0.0
2023-12-03,18.8,59.65,2.02,0.47
2023-12-04,19.11,62.34,1.67,0.98
2023-12-05,18.09,58.35,2.83,0.1
2023-12-06,18.16,52.21,2.09,0.0
2023-12-07,18.32,50.68,2.29,0.0
2023-12-08,17.01,51.16,3.06,0.0
2023-12-09,16.11,46.4,3.51,0.0
2023-12-10,15.25,45.78,3.97,0.0
2023-12-11,15.48,40.43,1.68,0.0
2023-12-12,15.92,41.94,1.39,0.0
2023-12-13,15.54,41.68,2.22,0.0
2023-12-14,14.26,48.47,3.56,0.0
2023-12-15,16.05,44.56,1.76,0.0
2023-12-16,15.46,45.53,1.91,0.0
2023-12-17,14.65,49.26,2.65,0.0
2023-12-18,13.86,54.58,4.34,0.0
2023-12-19,13.17,47.23,4.17,0.0
2023-12-20,12.97,44.1,3.02,0.0
2023-12-21,13.14,43.66,3.23,0.0
2023-12-22,14.89,41.04,1.65,0.0
2023-12-23,16.27,43.96,2.25,0.0
2023-12-24,16.72,51.16,1.59,0.0
2023-12-25,15.17,54.15,3.03,0.0
2023-12-26,15.28,55.02,2.65,0.0
2023-12-27,15.23,55.52,1.72,0.0
2023-12-28,14.45,58.29,1.46,0.0
